;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
1400;8861643;4937274;3089491;;1400;8040894;4288651;4288651;;1400;8257156;3747612;2892504;;;;;;
;10137496;5623504;2559996;;;7365191;3942066;3942066;;;7714970;4517248;2977232;;;;;;
;8424607;5526332;3017419;;;7711566;4649216;4649216;;;8121212;4285513;2554559;;;;;;
;9417268;5288011;2475672;;;8017932;4336757;4336757;;;7595256;4026994;2486888;;;;;;
;8791553;4902744;2925269;;;7354265;4066833;4066833;;;7956705;3786410;2876981;;;;;;
;8222247;5803866;3365535;;;7657173;3790646;3790646;;;8354135;4557941;2986035;;;;;;
;9599789;5689836;2819464;;;7977096;4473579;4473579;;;7860906;4279543;1899169;;;;;;
;8763932;5573527;3268571;;;7286380;4173331;4173331;;;8368314;4027608;3529999;;;;;;
;9262623;5383371;2710987;;;7624776;3892039;3892039;;;7807459;3828655;2472780;;;;;;
;8810642;5274991;3167324;;;7945118;4566844;4566844;;;8240879;4614627;2380586;;;;;;
;9067655;5032398;2621494;;;8251797;4295942;4295942;;;7661521;4394566;2935010;;;;;;
;8302888;4651537;3080605;;;7626173;4002941;4002941;;;8110096;4148203;2875092;;;;;;
;8680658;5213426;2530457;;;8020293;3804541;3804541;;;7534958;3888731;3020252;;;;;;
;8995212;5128129;2976738;;;7387912;4549881;4549881;;;7975606;4680705;2424510;;;;;;
;9642625;4975970;3449443;;;7727646;4249778;4249778;;;7399240;4435567;2324808;;;;;;
;9608075;4716856;2906064;;;8056186;3939954;3939954;;;7870403;4195304;2683820;;;;;;
;9007002;5412488;3350932;;;7368510;4669656;4669656;;;8316715;3933296;2904134;;;;;;
;8346395;5177348;2815079;;;7736249;4347934;4347934;;;7759111;4676550;2800541;;;;;;
;8735556;4863014;3260908;;;8041809;4056101;4056101;;;8220899;4490152;3267526;;;;;;
